date,value
2026-07-08,1.0
2026-07-09,0.9984
2026-07-10,0.9991
2026-07-13,0.9986
2026-07-14,0.9979
2026-07-15,0.9984
2026-07-16,0.9985
2026-07-17,0.9985
2026-07-20,0.9981
2026-07-21,0.9986
2026-07-22,0.9985
2026-07-23,0.9985
2026-07-24,0.9981
2026-07-27,0.9987
2026-07-28,0.999
2026-07-29,0.9991
2026-07-30,0.999
2026-07-31,0.9992
2026-08-03,0.9997
2026-08-04,1.0
2026-08-05,1.0004
2026-08-06,1.0007
2026-08-07,1.0011
2026-08-10,1.0021
2026-08-11,1.0023
2026-08-12,1.0024
2026-08-13,1.003
2026-08-14,1.0034
2026-08-17,1.0036
2026-08-18,1.0036
2026-08-19,1.0037
2026-08-20,1.0038
2026-08-24,1.0042
2026-08-25,1.0042
2026-08-26,1.0047
2026-08-27,1.0048
2026-08-28,1.0049
2026-09-01,1.0046
2026-09-02,1.0046
2026-09-03,1.0048
