2026-03-19,107.6485
2026-03-19,107.6485
2026-03-19,107.6485
2026-03-23,105.7178
2026-03-24,106.6597
2026-03-25,108.5113
2026-03-26,107.6186
2026-03-27,107.4109
2026-03-27,107.4109
2026-03-27,107.4109
2026-03-30,105.7320
2026-03-31,107.1961
2026-04-01,108.2910
2026-04-01,108.2910
2026-04-01,108.2910
2026-04-01,108.2910
2026-04-01,108.2910
2026-04-06,107.4320
2026-04-07,107.7733
2026-04-08,109.9137
2026-04-08,109.9137
2026-04-10,109.9189
2026-04-10,109.9189
2026-04-10,109.9189
2026-04-13,109.1460
2026-04-14,108.5123
2026-04-15,109.4146
2026-04-16,109.6355
2026-04-17,108.4700
2026-04-17,108.4700
2026-04-17,108.4700
2026-04-17,108.4700
2026-04-21,108.6841
2026-04-22,108.2175
2026-04-23,108.0582
2026-04-24,107.3315
2026-04-24,107.3315
2026-04-24,107.3315
2026-04-27,106.7084
