date,value
2026-03-18,1.31244
2026-03-19,1.311069
2026-03-23,1.307738
2026-03-24,1.306966
2026-03-25,1.307909
2026-03-26,1.309027
2026-03-29,1.309001
2026-03-30,1.308439
2026-03-31,1.309623
2026-04-01,1.310831
2026-04-06,1.313059
2026-04-07,1.312989
2026-04-08,1.315343
2026-04-12,1.314898
2026-04-13,1.314789
2026-04-14,1.318171
2026-04-15,1.315396
2026-04-16,1.315647
2026-04-19,1.315805
2026-04-20,1.31651
2026-04-21,1.318527
2026-04-22,1.317319
2026-04-23,1.317582
2026-04-26,1.317941
2026-04-27,1.316538
2026-04-28,1.316218
2026-04-29,1.316629
2026-05-03,1.313552
2026-05-04,1.313822
2026-05-05,1.311385
2026-05-06,1.308747
2026-05-07,1.312334
2026-05-10,1.310831
2026-05-11,1.309999
2026-05-12,1.305566
2026-05-14,1.303092
2026-05-15,1.302546
2026-05-19,1.302673
2026-05-20,1.3024
2026-05-21,1.304349
2026-05-24,1.303257
2026-05-25,1.302725
2026-05-26,1.302353
2026-05-28,1.303058
2026-05-29,1.304249
2026-06-01,1.305239
2026-06-02,1.304273
