date,value
2026-03-18,1.246362
2026-03-19,1.231504
2026-03-23,1.197527
2026-03-24,1.201592
2026-03-25,1.22382
2026-03-26,1.202282
2026-03-29,1.201282
2026-03-30,1.208989
2026-03-31,1.207468
2026-04-01,1.22091
2026-04-06,1.210826
2026-04-07,1.198866
2026-04-08,1.252757
2026-04-12,1.258899
2026-04-13,1.262932
2026-04-14,1.28651
2026-04-15,1.279194
2026-04-16,1.286417
2026-04-19,1.295282
2026-04-20,1.295198
2026-04-21,1.285237
2026-04-22,1.301838
2026-04-23,1.301807
2026-04-26,1.292401
2026-04-27,1.294347
2026-04-28,1.283407
2026-04-29,1.294786
2026-05-03,1.30801
2026-05-04,1.316051
2026-05-05,1.316023
2026-05-06,1.339343
2026-05-07,1.332708
2026-05-10,1.331629
2026-05-11,1.361442
2026-05-12,1.349301
2026-05-14,1.342732
2026-05-15,1.317238
2026-05-19,1.306302
2026-05-20,1.323662
2026-05-21,1.304352
2026-05-24,1.311929
2026-05-25,1.31184
2026-05-26,1.338395
2026-05-28,1.335833
2026-05-29,1.333812
2026-06-01,1.312827
2026-06-02,1.337421
2026-06-03,1.33329
2026-06-04,1.327644
2026-06-18,1.345977
2026-06-22,1.379911
2026-06-23,1.343178
2026-06-24,1.342113
2026-06-25,1.368674
2026-06-28,1.340554
