date,value
2026-03-18,2.398971
2026-03-19,2.39208
2026-03-23,2.382717
2026-03-24,2.375191
2026-03-25,2.387512
2026-03-26,2.345907
2026-03-29,2.307029
2026-03-30,2.299936
2026-03-31,2.364041
2026-04-01,2.381032
2026-04-06,2.393992
2026-04-07,2.395754
2026-04-08,2.453294
2026-04-12,2.465988
2026-04-13,2.490203
2026-04-14,2.518848
2026-04-15,2.538067
2026-04-16,2.543521
2026-04-19,2.574054
2026-04-20,2.569407
2026-04-21,2.552116
2026-04-22,2.578074
2026-04-23,2.567977
2026-04-26,2.58763
2026-04-27,2.591816
2026-04-28,2.579187
2026-04-29,2.578888
2026-05-03,2.604306
2026-05-04,2.601692
2026-05-05,2.621501
2026-05-06,2.658596
2026-05-07,2.649824
2026-05-10,2.671155
2026-05-11,2.677311
2026-05-12,2.67409
2026-05-14,2.709201
2026-05-15,2.676815
2026-05-19,2.65803
2026-05-20,2.684823
2026-05-21,2.689701
2026-05-24,2.700034
2026-05-25,2.699876
2026-05-26,2.716957
2026-05-28,2.731345
2026-05-29,2.73788
2026-06-01,2.744644
2026-06-02,2.748271
2026-06-03,2.727648
2026-06-04,2.740253
2026-06-18,2.705551
2026-06-22,2.697168
2026-06-23,2.659742
2026-06-24,2.658009
2026-06-25,2.657398
2026-06-28,2.635119
2026-06-29,2.684115
2026-06-30,2.700516
2026-07-01,2.701206
2026-07-02,2.698788
2026-07-05,2.698736
2026-07-06,2.720901
2026-07-07,2.707875
2026-07-08,2.701012
2026-07-09,2.722104
2026-07-10,2.73284
2026-07-14,2.72227
2026-07-15,2.733705
2026-07-16,2.719666
2026-07-17,2.692476
2026-07-20,2.688149
2026-07-21,2.711361
2026-07-22,2.70771
2026-07-23,2.67505
2026-07-26,2.677584
2026-07-27,2.678056
2026-07-28,2.68386
2026-07-29,2.645069
2026-07-30,2.68718
2026-07-31,2.704974
2026-08-03,2.743139
2026-08-04,2.790092
2026-08-05,2.785002
2026-08-06,2.780585
2026-08-07,2.79674
2026-08-10,2.7966
2026-08-12,2.794497
2026-08-13,2.812919
2026-08-17,2.79451
2026-08-19,2.781926
2026-08-20,2.759473
2026-08-23,2.759473
2026-08-26,2.770739
2026-08-27,2.788544
2026-08-28,2.782367
2026-09-01,2.755397
2026-09-02,2.767508
