date,value
2026-03-18,3.361784
2026-03-19,3.351785
2026-03-23,3.315581
2026-03-24,3.325097
2026-03-25,3.353495
2026-03-26,3.34117
2026-03-29,3.339678
2026-03-30,3.314658
2026-03-31,3.335855
2026-04-01,3.352315
2026-04-06,3.345881
2026-04-07,3.349056
2026-04-08,3.386399
2026-04-12,3.386942
2026-04-13,3.37267
2026-04-14,3.368189
2026-04-15,3.380081
2026-04-16,3.382394
2026-04-19,3.367067
2026-04-20,3.37283
2026-04-21,3.375815
2026-04-22,3.369184
2026-04-23,3.366987
2026-04-26,3.354914
2026-04-27,3.345314
2026-04-28,3.334167
2026-04-29,3.344818
2026-05-03,3.323145
2026-05-04,3.344347
2026-05-05,3.32524
2026-05-06,3.331765
2026-05-07,3.357831
2026-05-10,3.342617
2026-05-11,3.348741
2026-05-12,3.340569
2026-05-14,3.350291
2026-05-15,3.337315
2026-05-19,3.315051
2026-05-20,3.313313
2026-05-21,3.31861
2026-05-24,3.328464
2026-05-25,3.337505
2026-05-26,3.330406
2026-05-28,3.307057
2026-05-29,3.29055
2026-06-01,3.296954
2026-06-02,3.319015
2026-06-03,3.328346
2026-06-04,3.319776
2026-06-18,3.392839
2026-06-22,3.371324
2026-06-23,3.385759
2026-06-24,3.3542
2026-06-25,3.373192
2026-06-28,3.372935
2026-06-29,3.389089
2026-06-30,3.364784
2026-07-01,3.369041
2026-07-02,3.382644
2026-07-05,3.399467
2026-07-06,3.413213
2026-07-07,3.416019
2026-07-08,3.417007
2026-07-09,3.395644
2026-07-10,3.413893
2026-07-14,3.398877
2026-07-15,3.412249
2026-07-16,3.420519
2026-07-17,3.437405
2026-07-20,3.436429
2026-07-21,3.418985
2026-07-22,3.40347
2026-07-23,3.405317
2026-07-26,3.398851
2026-07-27,3.409221
