date,value
2026-03-19,1.16088
2026-03-23,1.161235
2026-03-24,1.161324
2026-03-25,1.161413
2026-03-26,1.161502
2026-03-27,1.16159
2026-03-30,1.161855
2026-03-31,1.161946
2026-04-01,1.162036
2026-04-06,1.162481
2026-04-07,1.16257
2026-04-08,1.162658
2026-04-10,1.162835
2026-04-13,1.163099
2026-04-14,1.163186
2026-04-15,1.163275
2026-04-16,1.163363
2026-04-17,1.163451
2026-04-20,1.163715
2026-04-21,1.163803
2026-04-22,1.163891
2026-04-23,1.163979
2026-04-24,1.164067
2026-04-27,1.164327
2026-04-28,1.164415
2026-04-29,1.164503
2026-04-30,1.164591
2026-05-04,1.164942
2026-05-05,1.165031
2026-05-06,1.165118
2026-05-07,1.165207
2026-05-08,1.165294
2026-05-11,1.165558
2026-05-12,1.165645
2026-05-13,1.165732
2026-05-15,1.165907
2026-05-18,1.166169
2026-05-19,1.166256
2026-05-20,1.166343
2026-05-21,1.16643
2026-05-22,1.166518
