date,value
2026-03-19,85.2566
2026-03-23,83.5998
2026-03-24,84.1107
2026-03-25,85.7734
2026-03-26,84.9442
2026-03-27,84.788
2026-03-30,83.3418
2026-03-31,84.4812
2026-04-01,85.1798
2026-04-06,84.461
2026-04-07,84.6066
2026-04-08,86.5025
2026-04-10,86.6133
2026-04-13,85.9861
2026-04-14,85.409
2026-04-15,86.1149
2026-04-16,86.1427
2026-04-17,85.2317
2026-04-20,85.4619
2026-04-21,85.4952
2026-04-22,85.0837
2026-04-23,85.0385
2026-04-24,84.4703
2026-04-27,83.8717
2026-04-28,83.3899
2026-04-29,84.0588
2026-04-30,83.0126
2026-05-04,84.5416
2026-05-05,83.9208
2026-05-06,84.8941
2026-05-07,85.8406
2026-05-08,84.7959
2026-05-11,85.1562
2026-05-12,85.0398
2026-05-13,84.89
2026-05-15,85.3084
2026-05-18,84.8209
2026-05-19,84.1844
2026-05-20,84.1565
2026-05-21,84.5411
2026-05-22,85.1331
2026-05-25,85.8062
2026-05-26,85.1767
2026-05-28,83.7372
2026-05-29,82.4451
2026-06-01,82.874
2026-06-02,84.4839
2026-06-03,85.2007
