2026-03-19,"1,900.7451"
2026-03-19,"1,900.7451"
2026-03-19,"1,900.7451"
2026-03-23,"1,901.0938"
2026-03-24,"1,901.5139"
2026-03-25,"1,901.8093"
2026-03-26,"1,902.1437"
2026-03-27,"1,902.1158"
2026-03-27,"1,902.1158"
2026-03-27,"1,902.1158"
2026-03-30,"1,902.6832"
2026-03-31,"1,902.6913"
2026-04-01,"1,903.0518"
2026-04-01,"1,903.0518"
2026-04-01,"1,903.0518"
2026-04-01,"1,903.0518"
2026-04-01,"1,903.0518"
2026-04-06,"1,904.0609"
2026-04-07,"1,904.1441"
2026-04-08,"1,904.4342"
2026-04-08,"1,904.4342"
2026-04-10,"1,905.0619"
2026-04-10,"1,905.0619"
