date,value
2026-04-29,100.32
2026-05-03,100.5
2026-05-04,100.39
2026-05-05,100.48
2026-05-06,101.12
2026-05-07,100.93
2026-05-10,101.21
2026-05-11,100.83
2026-05-12,100.46
2026-05-14,100.45
2026-05-17,99.62
2026-05-18,99.61
2026-05-19,99.24
2026-05-20,99.88
2026-05-21,100.06
2026-05-24,100.24
2026-05-25,100.23
2026-05-27,100.59
2026-05-28,100.4
2026-05-31,100.58
2026-06-01,100.48
2026-06-02,100.57
2026-06-03,100.29
2026-06-04,100.47
2026-06-18,100.88
2026-06-21,100.88
2026-06-22,100.6
2026-06-23,100.68
2026-06-24,101.05
