date,value
2026-05-14,108.2337
2026-05-15,105.6293
2026-05-18,104.6971
2026-05-19,103.8512
2026-05-20,106.4027
2026-05-21,107.2618
2026-05-22,108.1919
2026-05-25,107.7912
2026-05-26,110.8511
2026-05-28,112.6757
2026-05-29,114.2618
2026-06-01,117.7373
2026-06-02,119.2548
2026-06-03,118.3652
2026-06-04,116.8348
2026-06-18,116.0343
2026-06-19,116.4267
2026-06-22,116.5432
2026-06-23,111.211
2026-06-24,111.5938
2026-06-25,112.4181
2026-06-26,110.8552
2026-06-29,113.8251
2026-06-30,117.1792
2026-07-01,114.1221
2026-07-02,110.4722
2026-07-03,110.2031
2026-07-06,112.7007
2026-07-07,109.4096
2026-07-08,110.3523
2026-07-09,113.2793
2026-07-10,112.7693
2026-07-13,109.3444
2026-07-14,111.8617
2026-07-15,111.1952
2026-07-16,107.5331
2026-07-17,105.8188
