date,value
2026-05-14,0.8582
2026-05-15,0.856
2026-05-18,0.848
2026-05-19,0.8544
2026-05-20,0.8543
2026-05-21,0.8626
2026-05-22,0.8585
2026-05-25,0.8627
2026-05-26,0.8601
2026-05-28,0.8569
2026-05-29,0.8593
2026-06-01,0.857
2026-06-02,0.8521
2026-06-03,0.8471
2026-06-04,0.8467
2026-06-18,0.8423
2026-06-19,0.8447
2026-06-22,0.8391
2026-06-23,0.8398
2026-06-24,0.8444
2026-06-25,0.8502
2026-06-26,0.8509
2026-06-29,0.8531
2026-06-30,0.842
2026-07-01,0.8371
2026-07-02,0.8427
2026-07-03,0.8514
2026-07-06,0.8509
2026-07-07,0.8497
2026-07-08,0.8506
2026-07-09,0.8324
2026-07-10,0.8361
2026-07-13,0.8353
2026-07-14,0.8353
2026-07-15,0.8422
2026-07-16,0.8419
2026-07-17,0.8452
2026-07-20,0.8444
2026-07-21,0.8474
2026-07-22,0.8485
2026-07-23,0.8489
2026-07-24,0.8417
2026-07-27,0.8441
2026-07-28,0.8501
2026-07-29,0.8611
2026-07-30,0.8615
2026-07-31,0.8606
2026-08-03,0.8558
2026-08-04,0.8545
2026-08-05,0.8634
2026-08-06,0.852
2026-08-07,0.8519
2026-08-10,0.8524
2026-08-11,0.851
2026-08-12,0.8511
2026-08-13,0.8452
2026-08-14,0.8448
2026-08-17,0.8466
2026-08-18,0.8397
2026-08-19,0.843
2026-08-20,0.8469
2026-08-24,0.8528
2026-08-25,0.85
2026-08-26,0.8457
2026-08-27,0.8418
2026-08-28,0.8389
2026-09-01,0.8308
2026-09-02,0.8304
