date,value
2026-05-14,75.9035
2026-05-15,73.7257
2026-05-18,73.7172
2026-05-19,73.9456
2026-05-20,73.9707
2026-05-21,72.37
2026-05-22,74.028
2026-05-25,73.7519
2026-05-26,73.6812
2026-05-28,72.947
2026-05-29,72.6885
2026-06-01,72.8109
2026-06-02,74.5897
2026-06-03,74.1557
2026-06-04,73.3707
2026-06-18,70.1548
2026-06-19,70.3896
2026-06-22,71.0066
2026-06-23,71.2653
2026-06-24,69.6399
2026-06-25,69.0493
2026-06-26,66.8674
2026-06-29,67.5806
2026-06-30,68.1403
2026-07-01,68.424
2026-07-02,67.2474
2026-07-03,67.8144
2026-07-06,67.9168
2026-07-07,66.7983
2026-07-08,68.1291
2026-07-09,68.4432
