2026-03-19,"18.50* as of Mar 18, 2026"
2026-03-19,"18.50* as of Mar 18, 2026"
2026-03-19,"18.50* as of Mar 18, 2026"
2026-03-23,"18.48* as of Mar 22, 2026"
2026-03-24,"18.24* as of Mar 23, 2026"
2026-03-25,"18.05* as of Mar 24, 2026"
2026-03-26,"18.24* as of Mar 25, 2026"
2026-03-27,"17.98* as of Mar 26, 2026"
2026-03-27,"17.98* as of Mar 26, 2026"
2026-03-27,"17.98* as of Mar 26, 2026"
2026-03-30,"17.90* as of Mar 29, 2026"
2026-03-31,"17.59* as of Mar 30, 2026"
2026-04-01,"17.27* as of Mar 31, 2026"
2026-04-01,"17.27* as of Mar 31, 2026"
2026-04-01,"17.27* as of Mar 31, 2026"
2026-04-01,"17.27* as of Mar 31, 2026"
2026-04-01,"17.27* as of Mar 31, 2026"
2026-04-06,"18.10* as of Apr 5, 2026"
