2026-03-19,"194.93* as of Mar 18, 2026"
2026-03-19,"194.93* as of Mar 18, 2026"
2026-03-19,"194.93* as of Mar 18, 2026"
2026-03-23,"194.62* as of Mar 22, 2026"
2026-03-24,"193.80* as of Mar 23, 2026"
2026-03-25,"193.34* as of Mar 24, 2026"
2026-03-26,"194.25* as of Mar 25, 2026"
2026-03-27,"193.20* as of Mar 26, 2026"
2026-03-27,"193.20* as of Mar 26, 2026"
2026-03-27,"193.20* as of Mar 26, 2026"
2026-03-30,"192.80* as of Mar 29, 2026"
2026-03-31,"193.12* as of Mar 30, 2026"
2026-04-01,"193.94* as of Mar 31, 2026"
2026-04-01,"193.94* as of Mar 31, 2026"
2026-04-01,"193.94* as of Mar 31, 2026"
2026-04-01,"193.94* as of Mar 31, 2026"
2026-04-01,"193.94* as of Mar 31, 2026"
2026-04-06,"194.57* as of Apr 5, 2026"
