2026-03-19,"237.79* as of Mar 18, 2026"
2026-03-19,"237.79* as of Mar 18, 2026"
2026-03-19,"237.79* as of Mar 18, 2026"
2026-03-23,"232.24* as of Mar 22, 2026"
2026-03-24,"232.38* as of Mar 23, 2026"
2026-03-25,"232.78* as of Mar 24, 2026"
2026-03-26,"234.81* as of Mar 25, 2026"
2026-03-27,"233.21* as of Mar 26, 2026"
2026-03-27,"233.21* as of Mar 26, 2026"
2026-03-27,"233.21* as of Mar 26, 2026"
2026-03-30,"230.26* as of Mar 29, 2026"
2026-03-31,"230.89* as of Mar 30, 2026"
2026-04-01,"232.96* as of Mar 31, 2026"
2026-04-01,"232.96* as of Mar 31, 2026"
2026-04-01,"232.96* as of Mar 31, 2026"
2026-04-01,"232.96* as of Mar 31, 2026"
2026-04-01,"232.96* as of Mar 31, 2026"
2026-04-06,"240.00* as of Apr 5, 2026"
2026-04-07,"237.99* as of Apr 6, 2026"
2026-04-08,"237.20* as of Apr 7, 2026"
2026-04-08,"237.20* as of Apr 7, 2026"
2026-04-10,"248.86* as of Apr 9, 2026"
2026-04-10,"248.86* as of Apr 9, 2026"
2026-04-10,"248.86* as of Apr 9, 2026"
2026-04-13,"249.17* as of Apr 12, 2026"
2026-04-14,"248.64* as of Apr 13, 2026"
2026-04-15,"252.29* as of Apr 14, 2026"
2026-04-16,"251.85* as of Apr 15, 2026"
2026-04-17,"251.27* as of Apr 16, 2026"
2026-04-17,"251.27* as of Apr 16, 2026"
2026-04-17,"251.27* as of Apr 16, 2026"
2026-04-20,"256.56* as of Apr 19, 2026"
2026-04-21,"253.33* as of Apr 20, 2026"
2026-04-22,"249.65* as of Apr 21, 2026"
2026-04-23,"247.21* as of Apr 22, 2026"
2026-04-24,"245.93* as of Apr 23, 2026"
2026-04-24,"245.93* as of Apr 23, 2026"
