2026-03-19,"133.36* as of Mar 18, 2026"
2026-03-19,"133.36* as of Mar 18, 2026"
2026-03-19,"133.36* as of Mar 18, 2026"
2026-03-23,"131.29* as of Mar 22, 2026"
2026-03-24,"132.25* as of Mar 23, 2026"
2026-03-25,"130.16* as of Mar 24, 2026"
2026-03-26,"132.43* as of Mar 25, 2026"
2026-03-27,"127.76* as of Mar 26, 2026"
2026-03-27,"127.76* as of Mar 26, 2026"
2026-03-27,"127.76* as of Mar 26, 2026"
2026-03-30,"124.18* as of Mar 29, 2026"
2026-03-31,"122.00* as of Mar 30, 2026"
2026-04-01,"122.97* as of Mar 31, 2026"
2026-04-01,"122.97* as of Mar 31, 2026"
2026-04-01,"122.97* as of Mar 31, 2026"
2026-04-01,"122.97* as of Mar 31, 2026"
2026-04-01,"122.97* as of Mar 31, 2026"
2026-04-06,"128.96* as of Apr 5, 2026"
2026-04-07,"126.45* as of Apr 6, 2026"
