2026-03-19,"652.91* as of Mar 18, 2026"
2026-03-19,"652.91* as of Mar 18, 2026"
2026-03-19,"652.91* as of Mar 18, 2026"
2026-03-23,"644.73* as of Mar 22, 2026"
2026-03-24,"639.08* as of Mar 23, 2026"
2026-03-25,"638.60* as of Mar 24, 2026"
2026-03-26,"644.95* as of Mar 25, 2026"
2026-03-27,"634.97* as of Mar 26, 2026"
2026-03-27,"634.97* as of Mar 26, 2026"
2026-03-27,"634.97* as of Mar 26, 2026"
2026-03-30,"626.25* as of Mar 29, 2026"
2026-03-31,"622.15* as of Mar 30, 2026"
2026-04-01,"632.64* as of Mar 31, 2026"
2026-04-01,"632.64* as of Mar 31, 2026"
2026-04-01,"632.64* as of Mar 31, 2026"
2026-04-01,"632.64* as of Mar 31, 2026"
2026-04-01,"632.64* as of Mar 31, 2026"
2026-04-06,"644.43* as of Apr 5, 2026"
2026-04-07,"642.00* as of Apr 6, 2026"
2026-04-08,"644.39* as of Apr 7, 2026"
2026-04-08,"644.39* as of Apr 7, 2026"
2026-04-10,"667.64* as of Apr 9, 2026"
2026-04-10,"667.64* as of Apr 9, 2026"
2026-04-10,"667.64* as of Apr 9, 2026"
2026-04-13,"672.16* as of Apr 12, 2026"
2026-04-14,"673.67* as of Apr 13, 2026"
2026-04-15,"683.53* as of Apr 14, 2026"
2026-04-16,"687.65* as of Apr 15, 2026"
2026-04-17,"690.58* as of Apr 16, 2026"
2026-04-17,"690.58* as of Apr 16, 2026"
2026-04-17,"690.58* as of Apr 16, 2026"
2026-04-20,"695.38* as of Apr 19, 2026"
2026-04-21,"694.30* as of Apr 20, 2026"
2026-04-22,"691.97* as of Apr 21, 2026"
