2026-03-19,"98.13* as of Mar 18, 2026"
2026-03-19,"98.13* as of Mar 18, 2026"
2026-03-19,"98.13* as of Mar 18, 2026"
2026-03-23,"97.77* as of Mar 22, 2026"
2026-03-24,"96.84* as of Mar 23, 2026"
2026-03-25,"96.78* as of Mar 24, 2026"
2026-03-26,"98.49* as of Mar 25, 2026"
2026-03-27,"97.94* as of Mar 26, 2026"
