2026-03-19,"101.01* as of Mar 18, 2026"
2026-03-19,"101.01* as of Mar 18, 2026"
2026-03-19,"101.01* as of Mar 18, 2026"
2026-03-23,"100.92* as of Mar 22, 2026"
2026-03-24,"100.45* as of Mar 23, 2026"
2026-03-25,"100.07* as of Mar 24, 2026"
2026-03-26,"100.62* as of Mar 25, 2026"
2026-03-27,"99.97* as of Mar 26, 2026"
2026-03-27,"99.97* as of Mar 26, 2026"
2026-03-27,"99.97* as of Mar 26, 2026"
2026-03-30,"99.79* as of Mar 29, 2026"
2026-03-31,"99.78* as of Mar 30, 2026"
2026-04-01,"100.14* as of Mar 31, 2026"
2026-04-01,"100.14* as of Mar 31, 2026"
2026-04-01,"100.14* as of Mar 31, 2026"
2026-04-01,"100.14* as of Mar 31, 2026"
2026-04-01,"100.14* as of Mar 31, 2026"
2026-04-06,"100.51* as of Apr 5, 2026"
2026-04-07,"100.58* as of Apr 6, 2026"
2026-04-08,"100.58* as of Apr 7, 2026"
2026-04-08,"100.58* as of Apr 7, 2026"
2026-04-10,"101.31* as of Apr 9, 2026"
2026-04-10,"101.31* as of Apr 9, 2026"
2026-04-10,"101.31* as of Apr 9, 2026"
2026-04-13,"101.30* as of Apr 12, 2026"
2026-04-14,"101.38* as of Apr 13, 2026"
2026-04-15,"101.84* as of Apr 14, 2026"
2026-04-16,"101.75* as of Apr 15, 2026"
2026-04-17,"101.56* as of Apr 16, 2026"
2026-04-17,"101.56* as of Apr 16, 2026"
2026-04-17,"101.56* as of Apr 16, 2026"
2026-04-20,"102.11* as of Apr 19, 2026"
2026-04-21,"101.91* as of Apr 20, 2026"
2026-04-22,"101.54* as of Apr 21, 2026"
2026-04-23,"101.63* as of Apr 22, 2026"
2026-04-24,"101.35* as of Apr 23, 2026"
