date,value
2026-03-18,1.591893
2026-03-19,1.587151
2026-03-23,1.572923
2026-03-24,1.573643
2026-03-25,1.57822
2026-03-26,1.578313
2026-03-27,1.573036
2026-03-30,1.572894
2026-03-31,1.576821
2026-04-01,1.580989
2026-04-06,1.58131
2026-04-07,1.580918
2026-04-08,1.588087
2026-04-10,1.591354
2026-04-13,1.591103
2026-04-14,1.595005
2026-04-15,1.599475
2026-04-16,1.600191
2026-04-17,1.598493
2026-04-20,1.601129
2026-04-21,1.600853
2026-04-22,1.599194
2026-04-23,1.59796
2026-04-24,1.597565
2026-04-27,1.599186
2026-04-28,1.598067
2026-04-29,1.597979
2026-04-30,1.594861
2026-05-04,1.596545
2026-05-05,1.594693
2026-05-06,1.59753
2026-05-07,1.601914
2026-05-08,1.60053
2026-05-11,1.600855
2026-05-12,1.598505
2026-05-14,1.594235
2026-05-15,1.590037
2026-05-18,1.584377
2026-05-19,1.584882
2026-05-20,1.581796
2026-05-21,1.586022
2026-05-22,1.586342
2026-05-25,1.586359
2026-05-26,1.589604
2026-05-28,1.590493
2026-05-29,1.593744
2026-06-01,1.594983
2026-06-02,1.595098
2026-06-03,1.594429
2026-06-04,1.593519
2026-06-18,1.596189
2026-06-19,1.596262
2026-06-22,1.596005
2026-06-23,1.595071
2026-06-25,1.598151
2026-06-26,1.599167
2026-06-29,1.59986
2026-06-30,1.601057
2026-07-01,1.598505
2026-07-02,1.596917
2026-07-03,1.59699
2026-07-06,1.599065
2026-07-07,1.597806
2026-07-08,1.594855
2026-07-09,1.593262
2026-07-10,1.595188
2026-07-13,1.592998
2026-07-14,1.589263
2026-07-15,1.589615
2026-07-16,1.592531
2026-07-17,1.592431
2026-07-20,1.590871
2026-07-21,1.590386
2026-07-22,1.58969
2026-07-23,1.58736
2026-07-24,1.58402
2026-07-27,1.58632
2026-07-28,1.586671
2026-07-29,1.587452
2026-07-30,1.585032
2026-07-31,1.586537
2026-08-03,1.586148
2026-08-04,1.586438
2026-08-05,1.590742
2026-08-07,1.591513
2026-08-10,1.592837
