date,value
2026-03-18,2.526104
2026-03-19,2.520775
2026-03-23,2.513161
2026-03-24,2.506913
2026-03-25,2.510187
2026-03-26,2.513109
2026-03-27,2.513193
2026-03-30,2.513055
2026-03-31,2.515894
2026-04-01,2.52288
2026-04-06,2.528043
2026-04-07,2.531978
2026-04-08,2.538428
2026-04-10,2.537712
2026-04-13,2.536306
2026-04-14,2.542449
2026-04-15,2.54055
2026-04-16,2.5419
2026-04-17,2.542491
2026-04-20,2.543514
2026-04-21,2.54462
2026-04-22,2.54337
2026-04-23,2.54172
2026-04-24,2.53609
2026-04-27,2.53463
2026-04-28,2.529959
2026-04-29,2.486223
2026-04-30,2.524207
2026-05-04,2.52365
2026-05-05,2.509346
2026-05-06,2.497969
2026-05-07,2.513821
2026-05-08,2.514705
2026-05-11,2.510565
2026-05-12,2.504757
2026-05-14,2.488502
2026-05-15,2.486567
2026-05-18,2.485127
2026-05-19,2.483551
2026-05-20,2.480635
2026-05-21,2.491226
2026-05-22,2.48488
2026-05-25,2.487862
2026-05-26,2.487494
2026-05-28,2.491761
2026-05-29,2.496866
