date,value
2026-03-18,2.690272
2026-03-19,2.676914
2026-03-23,2.643968
2026-03-24,2.670369
2026-03-25,2.695593
2026-03-26,2.685043
2026-03-27,2.682895
2026-03-30,2.657767
2026-03-31,2.684244
2026-04-01,2.69627
2026-04-06,2.688179
2026-04-07,2.694882
2026-04-08,2.724615
2026-04-10,2.730642
2026-04-13,2.721645
2026-04-14,2.717804
2026-04-15,2.728795
2026-04-16,2.733334
2026-04-17,2.714067
2026-04-20,2.718677
2026-04-21,2.719824
2026-04-22,2.7113
2026-04-23,2.709162
2026-04-24,2.698243
2026-04-27,2.691628
2026-04-28,2.680489
2026-04-29,2.683563
2026-04-30,2.680817
2026-05-04,2.705313
2026-05-05,2.690017
2026-05-06,2.703025
2026-05-07,2.726427
2026-05-08,2.710253
2026-05-11,2.71838
