date,value
2026-03-19,1.662181
2026-03-23,1.653321
2026-03-24,1.655571
2026-03-25,1.65727
2026-03-26,1.657166
2026-03-27,1.654278
2026-03-30,1.654833
2026-04-01,1.662709
2026-04-06,1.660907
2026-04-07,1.661575
2026-04-08,1.666208
2026-04-10,1.668471
2026-04-13,1.668715
2026-04-14,1.672512
2026-04-16,1.675115
2026-04-17,1.674232
2026-04-20,1.676133
2026-04-21,1.675895
2026-04-22,1.675576
2026-04-23,1.675166
2026-04-24,1.675318
2026-04-27,1.676471
2026-04-28,1.675761
2026-04-29,1.67555
2026-04-30,1.674113
2026-05-04,1.675232
2026-05-05,1.674086
