date,value
2026-05-15,1.1281
2026-05-18,1.1217
2026-05-19,1.1133
2026-05-20,1.1129
2026-05-21,1.1179
2026-05-22,1.1257
2026-05-25,1.1347
2026-05-26,1.1263
2026-05-28,1.1073
2026-05-29,1.0901
2026-06-01,1.0958
2026-06-02,1.1172
2026-06-03,1.1268
2026-06-04,1.1193
2026-06-18,1.1652
2026-06-19,1.1617
2026-06-22,1.1426
2026-06-23,1.1598
2026-06-24,1.1343
2026-06-25,1.1494
2026-06-26,1.1495
2026-06-29,1.161
2026-06-30,1.1427
2026-07-01,1.1487
2026-07-02,1.1594
2026-07-03,1.1711
2026-07-06,1.1779
2026-07-07,1.1822
2026-07-08,1.1876
2026-07-09,1.1777
2026-07-10,1.1895
2026-07-13,1.1855
2026-07-14,1.1836
2026-07-15,1.1923
2026-07-16,1.1971
2026-07-17,1.2119
2026-07-20,1.214
2026-07-21,1.1985
2026-07-22,1.186
2026-07-23,1.1888
2026-07-24,1.1884
2026-07-27,1.1947
2026-07-28,1.1926
2026-07-29,1.2018
2026-07-30,1.1929
2026-07-31,1.1797
2026-08-03,1.1982
2026-08-04,1.1909
2026-08-05,1.1889
2026-08-06,1.1873
2026-08-07,1.1896
