date,value
2026-05-14,240.984734
2026-05-17,237.40735
2026-05-18,238.9538
2026-05-19,238.464171
2026-05-20,239.643735
2026-05-21,238.042254
2026-05-24,240.288557
2026-05-25,242.651365
2026-05-27,240.47731
2026-05-28,241.08699
2026-05-31,240.940333
2026-06-01,239.464634
2026-06-02,239.305555
2026-06-03,239.934008
2026-06-17,238.188078
2026-06-18,237.333999
2026-06-21,236.944782
2026-06-22,239.593352
2026-06-23,238.058465
2026-06-24,239.54708
2026-06-25,240.335839
2026-06-26,239.492292
2026-06-29,237.922144
2026-06-30,239.728036
2026-07-01,239.886725
2026-07-02,242.542825
2026-07-05,243.494493
2026-07-06,243.172545
2026-07-07,243.547584
2026-07-08,240.567982
2026-07-09,241.677012
2026-07-12,242.406993
2026-07-13,241.985487
2026-07-14,242.652039
2026-07-15,242.065386
2026-07-16,241.680561
2026-07-19,241.17862
2026-07-20,240.689332
2026-07-21,240.421297
2026-07-22,241.163423
2026-07-23,238.967427
2026-07-24,240.915723
2026-07-27,241.074615
2026-07-28,243.849232
2026-07-29,242.077325
2026-07-30,243.863158
2026-08-02,243.078694
2026-08-03,242.595264
2026-08-04,245.076898
2026-08-05,243.904744
2026-08-06,244.032385
