date,value
2026-05-15,101.49309
2026-05-18,100.698343
2026-05-19,100.619713
2026-05-20,99.9246
2026-05-21,99.571481
2026-05-22,100.700152
2026-05-25,100.901865
2026-05-26,100.066472
2026-05-28,98.29038
2026-05-29,98.606834
2026-06-01,98.432179
2026-06-02,98.452838
2026-06-03,98.013764
2026-06-04,98.425149
2026-06-18,100.67927
2026-06-19,100.379638
2026-06-22,100.406808
2026-06-23,100.287189
2026-06-24,99.507451
2026-06-25,99.78993
2026-06-26,100.182963
2026-06-29,101.142648
2026-06-30,100.233526
2026-07-01,99.891913
2026-07-02,100.047161
2026-07-03,100.794401
2026-07-06,102.107908
2026-07-07,101.351522
2026-07-08,101.170466
2026-07-09,99.63769
2026-07-10,100.492845
2026-07-13,100.423342
2026-07-14,99.798489
2026-07-15,101.137024
2026-07-16,102.337454
2026-07-17,103.012111
