date,value
2026-03-19,111.8713
2026-03-23,111.9009
2026-03-24,111.8886
2026-03-25,111.8988
2026-03-26,111.9082
2026-03-27,111.9222
2026-03-30,111.9522
2026-03-31,111.9581
2026-04-01,111.9723
2026-04-06,112.0372
2026-04-07,112.0477
2026-04-08,112.0776
2026-04-10,112.1145
2026-04-13,112.1497
2026-04-14,112.1825
2026-04-15,112.1951
2026-04-16,112.2133
2026-04-17,112.253
2026-04-21,112.316
2026-04-22,112.3422
2026-04-23,112.3512
2026-04-24,112.3675
2026-04-27,112.4017
2026-04-28,112.4109
2026-04-29,112.4178
2026-04-30,112.4155
2026-05-04,112.4462
2026-05-05,112.4441
2026-05-06,112.3909
